query_language,title,year,venue,authors,doi,openalex_url,matched_keywords,cited_by_count,type
en,Rethinking Cultural Tourism,2021,Edward Elgar Publishing eBooks,Greg Richards,10.4337/9781789905441,https://openalex.org/W3165981244,['cultural tourism'],119,book
zh,精心打造创意文化旅游特色街区——首届“南新仓文化旅游产品创意设计大赛”感想,2011,时代经贸,施燕青,,https://openalex.org/W900690511,['文化旅游'],0,article
zh,舟山东海“龙”文化旅游产品开发研究,2013,Acta Scientiarum Naturalium Universitatis Sunyatseni,马进; 杨奇美,,https://openalex.org/W249623300,['文化旅游'],0,article
zh,文 旅 融 合 下 图 书 馆 研 学 旅 行 的 现 状 及 对 策 研 究,2021,,幸娅; Xing Ya,,https://openalex.org/W3153668544,['文旅融合'],0,article
zh,多模态 AI 赋能文旅融合职业院校教学督导体系重构：基于集团办学的产教协同实践路径,2025,教育学刊,董世昌,10.62836/jer.v3n4.0310,https://openalex.org/W4409777350,['文旅融合'],0,article
zh,文旅深度融合下漳州文化旅游产品开发研究,2020,商业创新期刊,菊香 张,10.52288/jbi.26636204.2020.10.05,https://openalex.org/W4255771747,['文化旅游'],6,article
zh,“宗教﹢旅游”突破文旅融合发展瓶颈--以乐山佛教文化旅游为例,2020,Acta Scientiarum Naturalium Universitatis Sunyatseni,张舸,,https://openalex.org/W3128280737,['文旅融合'],0,article
zh,闽南文化旅游中“海洋”元素的运用,2013,Acta Scientiarum Naturalium Universitatis Sunyatseni,曾丽琴,,https://openalex.org/W961666080,['文化旅游'],0,article
zh,中国银联：牵手旅游商圈 构建多元化银旅平台,2015,新商务周刊,Jing Liu,,https://openalex.org/W2293168680,['一带一路旅游'],0,article
zh,文化演艺的文化科技融合、发展及产业提升研究——以苏州文化演艺为例,2015,大舞台,江燕,,https://openalex.org/W2282566406,['文旅融合'],0,article
zh,吉林：打造“一带一路”旅游版,2015,东北之窗,白雪梅,,https://openalex.org/W1467320478,['一带一路旅游'],0,article
zh,以文旅融合赋能乡村全面振兴——以兰溪市游埠镇为例,2025,科技创新发展,,10.69979/3041-0673.25.04.024,https://openalex.org/W4408926116,['文旅融合'],0,article
zh,浅析“晋中大院”文化旅游开发中存在的问题,2014,商,程思雨,,https://openalex.org/W1548910265,['文化旅游'],0,article
zh,扬州文化旅游开发：优势、难点与战略,2011,重庆科技学院学报：社会科学版,董长云,,https://openalex.org/W123184448,['文化旅游'],0,article
zh,基于区域协同视角的大运河文化旅游品牌体系构建研究——兼论“千年运河”文化旅游品牌建设思路,2019,Acta Scientiarum Naturalium Universitatis Sunyatseni,侯兵; Zhang Huifeng Zhao Hui,,https://openalex.org/W3114892729,['文化旅游'],0,article
zh,客家门匾文化传承与非遗文旅融合创新模式研究 —— 以赣州市上犹园村为例,2025,Educational Innovation and Research,辉 刘,10.61369/eir.2025020032,https://openalex.org/W4412736760,['文旅融合'],0,article
ar,المكتبات الأكاديمية وثقافة الاقتصاد البنفسجي: بين الواقع والمأمول,2024,Journal of Information Studies & Technology (JIS&T),سالمة سليمان الريامي; فاتن فتحي محمد حمد; نبهان بن حارث الحراصي,10.5339/jist.2024.10,https://openalex.org/W4402548617,['السياحة الثقافية'],0,article
ar,دور الإعلام السياحي في تفعيل صناعة السياحة الحلال,2018,مجلة الدراسات التجارية والاقتصادية المعاصرة,خليفة محمد فتحي; نسيمة أميرة موسى,10.55624/2382-001-001-007,https://openalex.org/W3109516441,['السياحة الحلال'],0,article
ar,"إدارة علاقات الزبون الإلكترونية ( E - CRM ) كإتجاه جديد في قطاع السياحة الحلال من أجل دعم وتقوية علاقة المؤسسات الفندقية بعملائها :, دراسة حالة الفندق الحلال أدين بتركيا",2019,,أسية بورزاق; نصيرة بركنو; أمنة حديدي,10.52471/1389-008-001-005,https://openalex.org/W3172765525,['السياحة الحلال'],0,article
ar,المتاحف ودورها فى نشر الثقافة السیاحیة وجذب السائحین إلى مصر - دراسة حالة على المتحف المصرى,2017,المجلة الدولية للتراث والسياحة والضيافة,منال توفیق; علاء الدین عبد اللطیف,10.21608/jihtha.2017.28084,https://openalex.org/W2919175546,['السياحة الثقافية'],2,article
ar,التفاعل الثقافي وبناء الهوية بين الصين والعالم العربي: من عهد أسرة تانغ إلى العصر المعاصر,2026,PRSM,دينغ جيقوانغDing Jiguang; تشين شوي يينغChen Xueying,10.34874/prsm.ejc-vol3iss1.9040,https://openalex.org/W7151517619,['مبادرة الحزام والطريق'],0,article
ar,"السياحة الحلال:, الصناعة التي تنمو بسرعة: تجارب ناجحة",2019,,الطيب مصطفاوي; عيسى بدرونى,10.54666/2334-003-001-002,https://openalex.org/W4206511245,['السياحة الحلال'],0,article
ar,"السياحة الثقافية في الجزائر:, بين رهان التسليع الثقافي وتثمين الصناعة التقليدية المحلية: ولاية باتنة أنموذجا",2022,مجلة العلوم القانونية والاجتماعية,ميسون بعطوش; كلثوم بيبيمون,10.53419/2259-007-004-028,https://openalex.org/W4412144583,['السياحة الثقافية'],0,article
ar,تأثير تطور العلاقات الصينية الإيرانية على المنطقة العربية,2024,Al-Amn Al-Qawmī wa Al-Istirātīğiyyaẗ/Al-Amn Al-Qawmī wa Al-Istirātīğiyyaẗ,مرفت زكريا,10.21608/nsas.2024.337108,https://openalex.org/W4391278420,['مبادرة الحزام والطريق'],0,article
ar,"السياحة التراثية ودورها في تنمية مقومات الجذب السياحي:, القرى التراثية في الإمارات المتحدة نموذجا",2023,مجلة الناقد للدراسات السياسية,مريم زان,10.37136/1999-007-002-007,https://openalex.org/W4412113214,['السياحة التراثية'],0,article
ar,المقومات الطبيعية في جبل شدا ودورها في تحقيق السياحة المستدامة,2024,مجلة العلوم الإنسانية و الإجتماعية,زهره أحمد الزهراني,10.26389/ajsrp.r040624,https://openalex.org/W4401216440,['السياحة الثقافية'],0,article
ar,"مساهمة السياحة الثقافية في تحقيق التنمية السياحية المستدامة في الجزائر:, قسنطينة عاصمة الثقافة العربية نموذجا",2021,مجلة العلوم الإنسانية,Rehailia Seif Eddine; Amar Benmalek; Cherabi Imed,10.35395/1728-008-003-067,https://openalex.org/W4411885802,['السياحة الثقافية'],0,article
ar,القدرة التنافسية لقطاع السياحة و الأسفار في دول المغرب العربي حسب تقرير المنتدى الإقتصادي العالمي- دافوس- (دراسة مقارنة بين الجزائر، تونس و المغرب),2021,مجلة إضافات إقتصادية,حراث حنان; رمضاني محمد; فاتحي رضوان,,https://openalex.org/W3202300385,['السياحة الثقافية'],0,article
ar,المتغيرات الجيوستراتيجية في البحر الأحمر وانعكاساتها على الاستقرار السياسي والاقتصادي,2025,المجلة العلمية للبحوث والدراسات التجارية,السيد خضر محمد محمد إسماعيل,10.21608/sjrbs.2025.420986.2212,https://openalex.org/W4417236504,['مبادرة الحزام والطريق'],0,article
ar,استكشاف ملاءمة مصر كوجهة سياحية تراثية للسياح الذين يعانون من الخرف: وعي المجتمع,2024,مجلة کلية السياحة والفنادق - جامعة مدينة السادات,شيماء عبد السلام محمد; عزة ماهر خليل; داليا فتحي مندور,10.21608/mfth.2024.384408,https://openalex.org/W4403357942,"['السياحة التراثية', 'السياحة الثقافية']",0,article
ar,سبل ترقية وتطوير السياحة الثقافية في الجزائر باستخدام الوسائل التكنولوجية الحديثة,2021,,نادية بن ورقلة; بلقماري هدى,10.34277/1456-009-001-005,https://openalex.org/W3188842079,['السياحة الثقافية'],0,article
